valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.7070000000000001,2018,0.836,['Jeremy Zucker'],0.773,169973,0.4370000000000001,1,75ls0gurX68lUmMjE7QcsE,2.42e-05,9,0.544,-8.281,1,all the kids are depressed,79,2018-05-04,0.0963,103.861
0.35,2018,0.449,['Post Malone'],0.507,204427,0.48,1,4H7WNRErSbONkM06blBoGc,0.0,5,0.147,-5.4179999999999975,1,Stay,77,2018-04-27,0.0266,86.046
0.494,2018,0.0312,['Dan + Shay'],0.489,196747,0.581,0,42fw0rxRO2xbesF6mJfd4Y,0.0,11,0.132,-5.731,1,Tequila,75,2018-06-22,0.0281,86.016
0.552,2018,0.0605,"['Kendrick Lamar', 'SZA']",0.698,232187,0.633,1,3GCdLUSnKSMJhs4Tj6CV3s,0.000194,8,0.0926,-4.9460000000000015,1,All The Stars (with SZA),79,2018-02-09,0.0597,96.92399999999999
0.877,2018,0.223,['Dominic Fike'],0.815,177667,0.518,0,1tNJrcVe6gwLEiZCtprs1u,0.0,7,0.10400000000000001,-6.593999999999999,0,3 Nights,80,2018-10-16,0.0897,151.891
0.158,2018,0.0626,['Bad Bunny'],0.672,169248,0.594,1,35wvL50xvKpCHEJPxLOLPI,5.14e-05,1,0.152,-6.813,0,Si Estuviésemos Juntos,83,2018-12-23,0.0789,171.854
0.7509999999999999,2018,0.000391,['Beach Bunny'],0.528,136562,0.797,0,6MpCaSIOfqBqbMED4kXgNY,0.011000000000000001,4,0.14,-7.487,1,Prom Queen,76,2018-08-10,0.0485,143.785
0.27699999999999997,2018,0.000616,['Juice WRLD'],0.523,244194,0.6779999999999999,1,0INehbMZOFPnaPBAjK97i3,0.0,8,0.142,-6.0710000000000015,1,I'll Be Fine,75,2018-12-10,0.0692,159.909
0.536,2018,0.40700000000000003,['A Boogie Wit da Hoodie'],0.7909999999999999,179449,0.5870000000000001,1,3Ol2xnObFdKV9pmRD2t9x8,0.0,3,0.14800000000000002,-5.075,0,Look Back at It,76,2018-12-21,0.0413,96.057
0.0797,2018,0.682,['Lauren Daigle'],0.494,274693,0.632,0,6Up545NUflOiXo8cEraH49,0.0,5,0.0869,-6.89,1,You Say,78,2018-09-07,0.0342,147.873
0.24600000000000002,2018,0.696,"['6LACK', 'J. Cole']",0.61,240342,0.45799999999999996,1,4at3d5QWnlibMVN75ECDrp,0.000103,9,0.0852,-11.335999999999999,1,Pretty Little Fears (feat. J. Cole),76,2018-09-14,0.36,192.09900000000002
0.354,2018,0.04,['Ariana Grande'],0.6990000000000001,205920,0.713,0,2qT1uLXPVPzGgFOx4jtEuo,3.11e-06,9,0.294,-5.5070000000000014,0,no tears left to cry,81,2018-08-17,0.0594,121.993
0.34299999999999997,2018,0.0217,['girl in red'],0.54,204991,0.381,0,3h3pOvw6hjOvZxRUseB7h9,0.000687,7,0.305,-14.323,1,i wanna be your girlfriend,79,2018-03-02,0.0347,155.882
0.551,2018,0.38799999999999996,['Alec Benjamin'],0.723,218893,0.504,0,4IhKLu7Vk3j2TLmnFPl6To,7.4e-05,8,0.087,-5.572,1,Water Fountain,78,2018-11-16,0.0392,133.975
0.319,2018,0.555,"['benny blanco', 'Halsey', 'Khalid']",0.56,173800,0.68,0,0d2iYfpKoM0QCKvcLCkBao,0.0,6,0.11599999999999999,-7.648,0,Eastside (with Halsey & Khalid),80,2018-07-12,0.321,89.391
0.568,2018,0.0364,['AJR'],0.45399999999999996,212374,0.66,1,0TkJIyL69RAUIbNwGub6uR,0.0,0,0.18100000000000002,-4.357,1,Burn The House Down,71,2018-09-21,0.168,184.35299999999998
0.268,2018,0.0233,['Ariana Grande'],0.602,197547,0.6579999999999999,1,5OCJzvD7sykQEKHH7qAC3C,5.9999999999999995e-05,1,0.237,-5.934,1,God is a woman,81,2018-08-17,0.0558,145.031
0.337,2018,0.373,['Juice WRLD'],0.715,183703,0.574,1,1wa6QQsdSE3X2GbRljGpFk,0.0,7,0.174,-6.2360000000000015,1,Candles,75,2018-12-10,0.0817,157.0
0.7170000000000001,2018,0.0161,['Bazzi'],0.71,131064,0.789,1,7uzmGiiJyRfuViKKK3lVmR,2.77e-06,4,0.451,-3.8739999999999997,1,Mine,78,2018-04-12,0.0722,142.929
0.34,2018,0.036000000000000004,['Roddy Ricch'],0.9259999999999999,224002,0.45399999999999996,1,4SWWe2OYC4mqf40Gc2RSdl,0.00042199999999999996,6,0.0896,-9.932,1,Down Below,77,2018-11-02,0.0732,119.969
0.485,2018,0.0659,['Cardi B'],0.9259999999999999,223713,0.703,1,6KBYefIoo7KydImq1uUQlL,0.0,11,0.231,-6.3370000000000015,0,Bodak Yellow,76,2018-04-06,0.10300000000000001,125.022
0.525,2018,0.168,"['benny blanco', 'Juice WRLD', 'Brendon Urie']",0.612,223543,0.601,1,1KVczjazCcCCgM3gXXUl47,0.0,8,0.11699999999999999,-7.0889999999999995,1,Roses (with Juice WRLD feat. Brendon Urie),77,2018-12-07,0.16399999999999998,147.018
0.26899999999999996,2018,0.648,['King Princess'],0.6,225133,0.535,1,0CZ8lquoTX2Dkg7Ak2inwA,4.7e-06,4,0.162,-7.0429999999999975,1,1950,77,2018-02-23,0.107,71.91199999999998
0.039,2018,0.00587,['Trippie Redd'],0.755,215364,0.615,1,5aXgz1oKK8Q9z9xvTmSnrO,1.75e-06,4,0.109,-8.245,1,Topanga,74,2018-11-09,0.0454,105.955
0.698,2018,0.0509,['Lil Baby'],0.6759999999999999,203881,0.578,1,5nzhL67GpF9szXWg5y509A,0.0,10,0.0796,-4.669,0,Close Friends (Lil Baby & Gunna),75,2018-10-05,0.375,158.89600000000004
0.297,2018,0.0969,"['Kanye West', 'PARTYNEXTDOOR']",0.573,271387,0.545,1,7vgTNTaEz3CsBZ1N4YQalM,0.0,7,0.32899999999999996,-4.247,0,Ghost Town,75,2018-06-01,0.0288,83.37799999999999
0.445,2018,0.0102,['Juice WRLD'],0.638,228720,0.624,1,6QNFQJKlZUKr0xlGZ74CZJ,0.0,10,0.0944,-5.37,1,Rich And Blind,75,2018-06-22,0.0798,159.937
0.313,2018,0.0167,['City Girls'],0.938,158332,0.638,1,3A2yGHWIzmGEIolwonU69h,0.0,8,0.111,-4.713,1,Act Up,74,2018-11-16,0.18899999999999997,97.075
0.177,2018,0.032,['Juice WRLD'],0.642,170539,0.562,1,49QVOdWgGagzLrThkIqtK6,0.0,11,0.168,-4.869,0,Scared Of Love,74,2018-12-10,0.0812,158.001
0.124,2018,0.894,"['Kina', 'Adriana Proenza']",0.522,187932,0.128,0,58wyJLv6yH1La9NIZPl3ne,0.026000000000000002,4,0.0941,-18.717,1,Can We Kiss Forever?,83,2018-08-31,0.0357,109.986
0.374,2018,0.802,['FINNEAS'],0.737,190348,0.408,1,7kQkmyoHCEqwe7QwDbkSXM,0.0,5,0.171,-7.941,1,Let's Fall in Love for the Night,79,2018-10-19,0.10400000000000001,127.921
0.457,2018,0.317,"['Lil Yachty', 'Juice WRLD']",0.721,166343,0.508,1,5R2rsbwCDXORX2tLfprRmM,0.0,7,0.153,-7.496,1,Yacht Club (feat. Juice WRLD),73,2018-10-19,0.39399999999999996,159.911
0.2,2018,0.0963,['Juice WRLD'],0.631,176443,0.7090000000000001,1,0WZFN4E8HrmGUU0EMyKQ8c,0.0,2,0.376,-4.666,1,Used To,74,2018-12-10,0.0505,84.50399999999998
0.39399999999999996,2018,0.184,"['Camila Cabello', 'Young Thug']",0.765,217307,0.523,0,1rfofaqEpACxVEHIZBJe6W,3.5600000000000005e-05,2,0.132,-4.333,1,Havana (feat. Young Thug),82,2018-01-12,0.03,104.988
0.22,2018,0.217,['Imagine Dragons'],0.7040000000000001,189467,0.611,0,2FY7b99s15jUprqC0M5NCT,0.0,2,0.0812,-6.112,1,Natural,81,2018-11-09,0.0409,100.0
0.498,2018,0.568,['Morgan Wallen'],0.7020000000000001,221880,0.711,0,7szRiHu6r91o2Po9GTPN4c,0.0,6,0.10400000000000001,-6.697,0,Talkin' Tennessee,71,2018-04-27,0.0248,99.988
0.158,2018,0.0141,"['Bad Bunny', 'Drake']",0.8170000000000001,210368,0.539,0,116H0KvKr2Zl4RPuVBruDO,0.000496,6,0.099,-6.349,0,MIA (feat. Drake),79,2018-10-11,0.0621,97.06200000000001
0.7659999999999999,2018,0.0478,['Mitski'],0.4970000000000001,137142,0.639,0,5ErtQGRKEibK2WHaA729O8,0.0,1,0.39,-5.31,1,Me and My Husband,75,2018-08-17,0.0273,171.95
0.743,2018,0.18100000000000002,['A$AP Rocky'],0.721,158206,0.7070000000000001,1,2aPTvyE09vUCRwVvj0I8WK,3.68e-06,6,0.14300000000000002,-6.364,1,Sundress,77,2018-11-20,0.0595,125.005
0.595,2018,0.0010400000000000001,"['BlocBoy JB', 'Drake']",0.922,181263,0.581,1,4qKcDkK6siZ7Jp1Jb4m0aL,5.8599999999999995e-05,10,0.105,-7.495,1,Look Alive (feat. Drake),76,2018-02-09,0.27,140.02200000000002
0.855,2018,0.18899999999999997,['Verzache'],0.813,177479,0.601,0,0WKmVAD4VWk5EdTyCFILi4,0.0002,11,0.426,-7.5520000000000005,0,Needs,76,2018-02-14,0.11599999999999999,118.98100000000001
